track,scenario_id,competitor,coverage_h_over_b,multiplicative_epsilon_h_over_b
sla_stress,sla_Google2011v2_flexible_dynamic_n150_workload_6102,ecc_cee_adapted,0.0,1.0000374369846656
sla_stress,sla_Google2011v2_flexible_dynamic_n150_workload_6102,eco_pso_joint,1.0,0.9583693663369613
sla_stress,sla_Google2011v2_flexible_dynamic_n150_workload_6102,tm_moaoa_joint,1.0,0.9583693663369613
sla_stress,sla_Google2011v2_flexible_dynamic_n150_workload_6102,meo_adapted,0.0,1.0
sla_stress,sla_Google2011v2_flexible_dynamic_n150_workload_6102,jellyfish_rts_adapted,0.0,1.0
sla_stress,sla_Google2011v2_flexible_dynamic_n150_workload_6102,nsga_ii,0.3,1.0803972134997275
sla_stress,sla_Google2011v2_flexible_dynamic_n150_workload_6102,ppo_joint,1.0,0.9583693663369613
sla_stress,sla_Alibaba2017_trace_dynamic_n150_workload_6000,ecc_cee_adapted,0.3333333333333333,1.0065200815521143
sla_stress,sla_Alibaba2017_trace_dynamic_n150_workload_6000,eco_pso_joint,0.8,1.0013688102853588
sla_stress,sla_Alibaba2017_trace_dynamic_n150_workload_6000,tm_moaoa_joint,0.9285714285714286,1.0546994669254781
sla_stress,sla_Alibaba2017_trace_dynamic_n150_workload_6000,meo_adapted,0.1875,1.028136546899307
sla_stress,sla_Alibaba2017_trace_dynamic_n150_workload_6000,jellyfish_rts_adapted,0.2727272727272727,1.0281365677038925
sla_stress,sla_Alibaba2017_trace_dynamic_n150_workload_6000,nsga_ii,0.15789473684210525,1.002346784468348
sla_stress,sla_Alibaba2017_trace_dynamic_n150_workload_6000,ppo_joint,1.0,1.0
sla_stress,sla_Alibaba2017_trace_dynamic_n150_workload_6101,ecc_cee_adapted,0.23076923076923078,1.0023648480318221
sla_stress,sla_Alibaba2017_trace_dynamic_n150_workload_6101,eco_pso_joint,1.0,0.9424943540819555
sla_stress,sla_Alibaba2017_trace_dynamic_n150_workload_6101,tm_moaoa_joint,0.8571428571428571,1.2599058859866339
sla_stress,sla_Alibaba2017_trace_dynamic_n150_workload_6101,meo_adapted,0.21428571428571427,1.0023648480318221
sla_stress,sla_Alibaba2017_trace_dynamic_n150_workload_6101,jellyfish_rts_adapted,0.21428571428571427,1.0281365677038925
sla_stress,sla_Alibaba2017_trace_dynamic_n150_workload_6101,nsga_ii,0.4,1.0281365677038925
sla_stress,sla_Alibaba2017_trace_dynamic_n150_workload_6101,ppo_joint,1.0,1.0
sla_stress,sla_Alibaba2017_trace_dynamic_n150_workload_6102,ecc_cee_adapted,0.0,1.0853753161454092
sla_stress,sla_Alibaba2017_trace_dynamic_n150_workload_6102,eco_pso_joint,0.8,1.0277310852690305
sla_stress,sla_Alibaba2017_trace_dynamic_n150_workload_6102,tm_moaoa_joint,0.4444444444444444,1.1178424037073205
sla_stress,sla_Alibaba2017_trace_dynamic_n150_workload_6102,meo_adapted,0.3333333333333333,1.0277310852690305
sla_stress,sla_Alibaba2017_trace_dynamic_n150_workload_6102,jellyfish_rts_adapted,0.42857142857142855,1.0277310852690305
sla_stress,sla_Alibaba2017_trace_dynamic_n150_workload_6102,nsga_ii,0.3333333333333333,1.0277310852690305
sla_stress,sla_Alibaba2017_trace_dynamic_n150_workload_6102,ppo_joint,1.0,1.0
sla_stress,sla_Alibaba2017_flexible_dynamic_n150_workload_6000,ecc_cee_adapted,0.0,1.0208813446037677
