track,scenario_id,method,hypervolume_3d_exact_normalized
sla_stress,sla_Alibaba2017_trace_dynamic_n150_workload_6101,hcsmo_v6d,75.67064302970655
sla_stress,sla_Alibaba2017_trace_dynamic_n150_workload_6101,ecc_cee_adapted,73.7221754143269
sla_stress,sla_Alibaba2017_trace_dynamic_n150_workload_6101,eco_pso_joint,23.26884990384154
sla_stress,sla_Alibaba2017_trace_dynamic_n150_workload_6101,tm_moaoa_joint,64.50118693411565
sla_stress,sla_Alibaba2017_trace_dynamic_n150_workload_6101,meo_adapted,73.68623410330548
sla_stress,sla_Alibaba2017_trace_dynamic_n150_workload_6101,jellyfish_rts_adapted,73.70197388190552
sla_stress,sla_Alibaba2017_trace_dynamic_n150_workload_6101,nsga_ii,74.08394887533282
sla_stress,sla_Alibaba2017_trace_dynamic_n150_workload_6101,ppo_joint,37.74344687550689
sla_stress,sla_Alibaba2017_trace_dynamic_n150_workload_6102,hcsmo_v6d,167.45569472221905
sla_stress,sla_Alibaba2017_trace_dynamic_n150_workload_6102,ecc_cee_adapted,166.8028549285403
sla_stress,sla_Alibaba2017_trace_dynamic_n150_workload_6102,eco_pso_joint,55.222219308508684
sla_stress,sla_Alibaba2017_trace_dynamic_n150_workload_6102,tm_moaoa_joint,147.7440889062986
sla_stress,sla_Alibaba2017_trace_dynamic_n150_workload_6102,meo_adapted,164.206681433038
sla_stress,sla_Alibaba2017_trace_dynamic_n150_workload_6102,jellyfish_rts_adapted,164.2169147005136
sla_stress,sla_Alibaba2017_trace_dynamic_n150_workload_6102,nsga_ii,166.18173824816532
sla_stress,sla_Alibaba2017_trace_dynamic_n150_workload_6102,ppo_joint,101.39196240637888
sla_stress,sla_Alibaba2017_flexible_dynamic_n150_workload_6000,hcsmo_v6d,77.73570357630861
sla_stress,sla_Alibaba2017_flexible_dynamic_n150_workload_6000,ecc_cee_adapted,74.30346520935906
sla_stress,sla_Alibaba2017_flexible_dynamic_n150_workload_6000,eco_pso_joint,23.383517343463517
sla_stress,sla_Alibaba2017_flexible_dynamic_n150_workload_6000,tm_moaoa_joint,42.85433108168084
sla_stress,sla_Alibaba2017_flexible_dynamic_n150_workload_6000,meo_adapted,73.46268723312349
sla_stress,sla_Alibaba2017_flexible_dynamic_n150_workload_6000,jellyfish_rts_adapted,73.47097154001743
sla_stress,sla_Alibaba2017_flexible_dynamic_n150_workload_6000,nsga_ii,73.80944920169387
sla_stress,sla_Alibaba2017_flexible_dynamic_n150_workload_6000,ppo_joint,45.882767361954436
sla_stress,sla_Alibaba2017_flexible_dynamic_n150_workload_6101,hcsmo_v6d,65.60642752968161
sla_stress,sla_Alibaba2017_flexible_dynamic_n150_workload_6101,ecc_cee_adapted,65.29958723907
sla_stress,sla_Alibaba2017_flexible_dynamic_n150_workload_6101,eco_pso_joint,22.05672482280073
sla_stress,sla_Alibaba2017_flexible_dynamic_n150_workload_6101,tm_moaoa_joint,40.70650482358322
sla_stress,sla_Alibaba2017_flexible_dynamic_n150_workload_6101,meo_adapted,65.09904349445063
sla_stress,sla_Alibaba2017_flexible_dynamic_n150_workload_6101,jellyfish_rts_adapted,64.88958446406261
sla_stress,sla_Alibaba2017_flexible_dynamic_n150_workload_6101,nsga_ii,65.31438579802713
sla_stress,sla_Alibaba2017_flexible_dynamic_n150_workload_6101,ppo_joint,47.03633420626463
sla_stress,sla_Alibaba2017_flexible_dynamic_n150_workload_6102,hcsmo_v6d,76.90324750235186
sla_stress,sla_Alibaba2017_flexible_dynamic_n150_workload_6102,ecc_cee_adapted,71.9225867641299
sla_stress,sla_Alibaba2017_flexible_dynamic_n150_workload_6102,eco_pso_joint,21.445897082810102
sla_stress,sla_Alibaba2017_flexible_dynamic_n150_workload_6102,tm_moaoa_joint,70.64226424930247
sla_stress,sla_Alibaba2017_flexible_dynamic_n150_workload_6102,meo_adapted,71.95301891612628
sla_stress,sla_Alibaba2017_flexible_dynamic_n150_workload_6102,jellyfish_rts_adapted,71.94255276921253
sla_stress,sla_Alibaba2017_flexible_dynamic_n150_workload_6102,nsga_ii,72.36195459673982
sla_stress,sla_Alibaba2017_flexible_dynamic_n150_workload_6102,ppo_joint,44.21812495130561
