track,scenario_id,base_scenario_id,method,migration_volume_gib,migration_energy_wh,migration_emissions_g,gross_horizon_energy_wh,gross_horizon_emissions_g,makespan_s,migration_energy_fraction_pct,migration_emissions_fraction_pct
representative,rep_Alibaba2017_trace_dynamic_n060_823,rep_Alibaba2017_trace_dynamic_n060_823,tm_moaoa_joint,29.988372634793915,1.799302358087635,0.11018109326223631,271.9262550529444,23.817041673219787,25752.595005262992,0.6616876173789503,0.4626145210390485
representative,rep_Alibaba2017_trace_dynamic_n090_827,rep_Alibaba2017_trace_dynamic_n090_827,ecc_cee_adapted,31.645650091890175,1.8987390055134103,0.26862061843501517,307.7466262174907,50.94687292091361,25812.601562755124,0.6169812578778795,0.5272563418210243
representative,rep_Alibaba2017_trace_dynamic_n090_827,rep_Alibaba2017_trace_dynamic_n090_827,eco_pso_joint,47.31788885149975,2.839073331089985,0.5294620387751373,673.3776479819776,127.25981519416969,26034.805768322258,0.42161680590353817,0.4160480965395856
representative,rep_Alibaba2017_trace_dynamic_n090_827,rep_Alibaba2017_trace_dynamic_n090_827,hcsmo_v6d,47.13234799264851,2.8279408795589105,0.3100812772500177,248.6440693447663,38.81560901888731,25812.601562755124,1.1373449956040287,0.7988571739248895
representative,rep_Alibaba2017_trace_dynamic_n090_827,rep_Alibaba2017_trace_dynamic_n090_827,jellyfish_rts_adapted,49.25877876426861,2.9555267258561164,0.6373041145134952,250.6710752471648,48.87826080233755,25812.88574558671,1.1790457765986484,1.3038600474978783
representative,rep_Alibaba2017_trace_dynamic_n090_827,rep_Alibaba2017_trace_dynamic_n090_827,meo_adapted,35.50456863303374,2.130274117982025,0.3032028634586996,311.232147400824,50.63010886520227,25812.601562755124,0.6844646787847807,0.598858802113082
representative,rep_Alibaba2017_trace_dynamic_n090_827,rep_Alibaba2017_trace_dynamic_n090_827,nsga_ii,35.66890482230198,2.140134289338119,0.32074322366888236,310.08746432534844,53.10975498088839,25812.601562755124,0.6901711728316298,0.6039252558862345
representative,rep_Alibaba2017_trace_dynamic_n090_827,rep_Alibaba2017_trace_dynamic_n090_827,ppo_joint,43.46824735329875,2.608094841197925,0.35754753583723575,438.55819387197346,46.95835976004735,25814.986446412804,0.5946975515772248,0.7614140222619974
representative,rep_Alibaba2017_trace_dynamic_n090_827,rep_Alibaba2017_trace_dynamic_n090_827,tm_moaoa_joint,49.62588460642428,2.9775530763854565,0.499505973442391,248.74074137567783,43.991461254747975,25836.917787789367,1.1970508168134797,1.1354611990491212
representative,rep_Google2011v2_flexible_dynamic_n030_811,rep_Google2011v2_flexible_dynamic_n030_811,ecc_cee_adapted,4.343511738536946,0.2606107043122167,0.03572479798078351,573.0974685130186,74.40583240667192,25948.19211820676,0.04547406307489153,0.048013437690645464
representative,rep_Google2011v2_flexible_dynamic_n030_811,rep_Google2011v2_flexible_dynamic_n030_811,eco_pso_joint,5.357241601337678,0.3214344960802606,0.06137842747798591,1087.4101974023013,232.97315442031643,25948.17166842078,0.029559635990919608,0.02634570821290876
representative,rep_Google2011v2_flexible_dynamic_n030_811,rep_Google2011v2_flexible_dynamic_n030_811,hcsmo_v6d,4.343511738536946,0.2606107043122167,0.035186870931475094,681.2223058563561,74.18232558515659,25948.17166842078,0.038256337479232454,0.0474329574516814
representative,rep_Google2011v2_flexible_dynamic_n030_811,rep_Google2011v2_flexible_dynamic_n030_811,jellyfish_rts_adapted,5.875940052905721,0.35255640317434317,0.06109636005787109,867.9964862414711,158.43174827290275,25948.204705546377,0.04061726156299949,0.038563205117594895
