sensitivity_family,parameter,parameter_value,parameter_subvalue,track,scenario_id,base_scenario_id,dataset,family,node_count,task_count,scenario_seed,workload_seed,replication_index,replication_rule,budget,actual_objective_calls,wall_time_s,origin,total_facility_energy_wh,total_emissions_g,active_energy_wh,inactive_energy_wh,wake_energy_wh,active_node_count,legacy_finish_bounded_energy_wh,legacy_finish_bounded_emissions_g,finish_bounded_floor_energy_wh,finish_bounded_floor_emissions_g,fixed_horizon_end_s,fixed_horizon_duration_s,infrastructure_floor_energy_wh,infrastructure_floor_emissions_g,gross_horizon_energy_wh,gross_horizon_emissions_g,scheduler_controllable_energy_wh,scheduler_controllable_emissions_g,background_energy_share_pct,background_emissions_share_pct,makespan_s,deadline_miss_ratio,total_tardiness_s,migration_volume_gib,migration_energy_wh,migration_emissions_g
carbon_shift_cap,maximum_shift_fraction,0.5,,representative,rep_Google2011v2_trace_dynamic_n060_823,rep_Google2011v2_trace_dynamic_n060_823,Google2011v2,trace_dynamic,30,60,823,823,0,exact_frozen_v3a_representative_scenario,216,216,9.899742417001107,v6c_anchor_critical_tail_fast_turbo_1__shift_cap,891.4401014357704,40.59831592556469,633.1565113853098,241.75202186358382,15.70833333333333,2.0,891.4401014357704,40.59831592556469,212.64531670554268,39.960160738438184,350854.97646773304,28654.97646773304,232.0097928004123,43.15491503357963,910.8045775306399,43.793070220706156,678.7947847302278,0.6381551871265074,25.47305959193067,98.54279413635449,26263.316184299183,0.0,0.0,13.720580892403982,0.8232348535442389,0.09692411944310333
carbon_shift_cap,maximum_shift_fraction,1.0,,representative,rep_Google2011v2_trace_dynamic_n060_823,rep_Google2011v2_trace_dynamic_n060_823,Google2011v2,trace_dynamic,30,60,823,823,0,exact_frozen_v3a_representative_scenario,216,216,10.27029453099999,v6c_anchor_critical_tail_fast_turbo_1,891.4401014357704,40.59831592556469,633.1565113853098,241.75202186358382,15.70833333333333,2.0,891.4401014357704,40.59831592556469,212.64531670554268,39.960160738438184,350854.97646773304,28654.97646773304,232.0097928004123,43.15491503357963,910.8045775306399,43.793070220706156,678.7947847302278,0.6381551871265074,25.47305959193067,98.54279413635449,26263.316184299183,0.0,0.0,13.720580892403982,0.8232348535442389,0.09692411944310333
dvfs_policy,dvfs_policy,balanced_only,,representative,rep_Google2011v2_trace_dynamic_n060_823,rep_Google2011v2_trace_dynamic_n060_823,Google2011v2,trace_dynamic,30,60,823,823,0,exact_frozen_v3a_representative_scenario,216,216,5.948051917999692,uniform_pool_Google2011v2_node_027_eco_low__no_dvfs,760.3584538530413,40.9280571258232,507.8657674067833,241.03611825938134,10.633333333333331,1.0,760.3584538530413,40.9280571258232,215.27350183082942,40.39912896786062,350854.97646773304,28654.97646773304,232.0097928004123,43.15491503357963,777.0947448226241,43.68384319154224,545.0849520222118,0.5289281579625822,29.856049644676176,98.78919042071597,26587.91706432635,0.0,0.0,13.720580892403982,0.8232348535442389,0.09692411944310333
dvfs_policy,dvfs_policy,eco_balanced,,representative,rep_Google2011v2_trace_dynamic_n060_823,rep_Google2011v2_trace_dynamic_n060_823,Google2011v2,trace_dynamic,30,60,823,823,0,exact_frozen_v3a_representative_scenario,216,216,9.07891019800445,uniform_pool_Google2011v2_node_027_balanced__eco_balanced_dvfs,760.3584538530413,40.9280571258232,507.8657674067833,241.03611825938134,10.633333333333331,1.0,760.3584538530413,40.9280571258232,215.27350183082942,40.39912896786062,350854.97646773304,28654.97646773304,232.0097928004123,43.15491503357963,777.0947448226241,43.68384319154224,545.0849520222118,0.5289281579625822,29.856049644676176,98.78919042071597,26587.91706432635,0.0,0.0,13.720580892403982,0.8232348535442389,0.09692411944310333
dvfs_policy,dvfs_policy,full_5state,,representative,rep_Google2011v2_trace_dynamic_n060_823,rep_Google2011v2_trace_dynamic_n060_823,Google2011v2,trace_dynamic,30,60,823,823,0,exact_frozen_v3a_representative_scenario,216,216,10.27029453099999,v6c_anchor_critical_tail_fast_turbo_1,891.4401014357704,40.59831592556469,633.1565113853098,241.75202186358382,15.70833333333333,2.0,891.4401014357704,40.59831592556469,212.64531670554268,39.960160738438184,350854.97646773304,28654.97646773304,232.0097928004123,43.15491503357963,910.8045775306399,43.793070220706156,678.7947847302278,0.6381551871265074,25.47305959193067,98.54279413635449,26263.316184299183,0.0,0.0,13.720580892403982,0.8232348535442389,0.09692411944310333
active_pool_size,pool_size,1,energy,representative,rep_Google2011v2_trace_dynamic_n060_823,rep_Google2011v2_trace_dynamic_n060_823,Google2011v2,trace_dynamic,30,60,823,823,0,exact_frozen_v3a_representative_scenario,216,1,0.07730540799821028,fixed_pool_energy_k1,1217.4629360037611,237.7394017764236,820.0486664749575,349.6390458095663,47.05555555555555,6.0,1217.4629360037611,237.7394017764236,224.96205445890283,41.998587855103324,350854.97646773304,28654.97646773304,232.0097928004123,43.15491503357963,1224.5106743452707,238.8957289548999,992.5008815448583,195.74081392132027,18.947143349686584,18.064330920594507,27784.52710484591,0.0,0.0,11.99446939482239,0.7196681636893433,0.16043662113018195
active_pool_size,pool_size,1,carbon,representative,rep_Google2011v2_trace_dynamic_n060_823,rep_Google2011v2_trace_dynamic_n060_823,Google2011v2,trace_dynamic,30,60,823,823,0,exact_frozen_v3a_representative_scenario,216,1,0.07447561000299174,fixed_pool_carbon_k1,1238.5570867035754,114.34711581066723,840.1197302622471,350.60035912806904,47.11111111111111,6.0,1238.5570867035754,114.34711581066723,224.96206255556987,41.99858918352894,350854.97646773304,28654.97646773304,232.0097928004123,43.15491503357963,1245.6048169484177,115.50344166071793,1013.5950241480055,72.34852662713828,18.626276138591727,37.362449476045676,27784.52810484596,0.0,0.0,12.098103369276995,0.7258862021566196,0.08557994433442843
active_pool_size,pool_size,1,hybrid,representative,rep_Google2011v2_trace_dynamic_n060_823,rep_Google2011v2_trace_dynamic_n060_823,Google2011v2,trace_dynamic,30,60,823,823,0,exact_frozen_v3a_representative_scenario,216,1,0.09900016299798153,fixed_pool_hybrid_k1,1217.4629360037611,237.7394017764236,820.0486664749575,349.6390458095663,47.05555555555555,6.0,1217.4629360037611,237.7394017764236,224.96205445890283,41.998587855103324,350854.97646773304,28654.97646773304,232.0097928004123,43.15491503357963,1224.5106743452707,238.8957289548999,992.5008815448583,195.74081392132027,18.947143349686584,18.064330920594507,27784.52710484591,0.0,0.0,11.99446939482239,0.7196681636893433,0.16043662113018195
active_pool_size,pool_size,1,speed,representative,rep_Google2011v2_trace_dynamic_n060_823,rep_Google2011v2_trace_dynamic_n060_823,Google2011v2,trace_dynamic,30,60,823,823,0,exact_frozen_v3a_representative_scenario,216,1,0.06871831799799111,fixed_pool_speed_k1,1154.408385063257,306.10322616295747,847.1274049927088,267.22714389887255,39.2,1.0,1154.408385063257,306.10322616295747,218.06642990078117,40.86561311236591,350854.97646773304,28654.97646773304,232.0097928004123,43.15491503357963,1168.3517479628879,308.3925280841712,936.3419551624758,265.23761305059156,19.85787184424035,13.993502145357143,26932.864952751843,0.0,0.0,14.230602861341989,0.8538361716805192,0.1918192835158331
active_pool_size,pool_size,2,energy,representative,rep_Google2011v2_trace_dynamic_n060_823,rep_Google2011v2_trace_dynamic_n060_823,Google2011v2,trace_dynamic,30,60,823,823,0,exact_frozen_v3a_representative_scenario,216,1,0.07250650400237646,fixed_pool_energy_k2,851.9262636566558,215.39206799862922,603.0965034030694,240.07884075109277,7.904166666666667,3.0,851.9262636566558,215.39206799862922,219.6953076044984,41.13446914995315,350854.97646773304,28654.97646773304,232.0097928004123,43.15491503357963,864.2407488525697,217.41251388225572,632.2309560521574,174.25759884867608,26.84550492538633,19.849324338777976,27134.04375518707,0.0,0.0,14.11254726380418,0.8467528358282507,0.19039553300952713
